idx,link
148,http://www.c-span.org/video/?404060-1/presidential-candidate-hillary-clinton-nashua-new-hampshire
149,http://www.c-span.org/video/?404037-1/hillary-clinton-caucus-night-speech
150,http://www.c-span.org/video/?403935-1/hillary-clinton-campaign-rally-cedar-rapids-iowa
151,http://www.c-span.org/video/?403686-1/hillary-clinton-get-caucus-rally-marshalltown-iowa
152,http://www.c-span.org/video/?403447-1/hillary-clinton-campaign-event-iowa-city-iowa
153,http://www.c-span.org/video/?403046-1/planned-parenthood-endorsement-hillary-clinton
154,http://www.c-span.org/video/?403087-3/presidential-candidate-hillary-clinton-brown-black-forum
155,http://www.c-span.org/video/?402565-1/hillary-clinton-town-hall-meeting-portsmouth-new-hampshire
156,http://www.c-span.org/video/?402004-1/hillary-clinton-remarks-homeland-security
157,http://www.c-span.org/video/?401348-1/women-hillary-campaign-endorsement-announcement
158,http://www.c-span.org/video/?401245-3/hillary-clinton-remarks-jeffersonjackson-dinner
159,http://www.c-span.org/video/?400960-1/hillary-clinton-national-security-address
160,http://www.c-span.org/video/?400357-1/hillary-clinton-town-hall-meeting-orangeburg-south-carolina
161,http://www.c-span.org/video/?328787-1/presidential-candidates-jeffersonjackson-dinner
162,http://www.c-span.org/video/?328919-3/hillary-clinton-democratic-womens-leadership-forum
163,http://www.c-span.org/video/?328774-1/hillary-clinton-town-hall-meeting-keene-new-hampshire
164,http://www.c-span.org/video/?328637-1/hillary-clinton-campaign-rally-las-vegas
165,http://www.c-span.org/video/?328577-1/hillary-clinton-remarks-gun-violence
166,http://www.c-span.org/video/?328503-1/hillary-clinton-grassroots-campaign-event-davie-florida
167,http://www.c-span.org/video/?328108-1/2015-new-hampshire-democratic-party-state-convention
168,http://www.c-span.org/video/?328006-1/hillary-clinton-address-iran-nuclear-agreement
169,http://www.c-span.org/video/?327904-1/wmurtv-interview-presidential-candidate-hillary-clinton
170,http://www.c-span.org/video/?327791-1/lincoln-chafee-hillary-clinton-dnc-summer-meeting
171,http://www.c-span.org/video/?327822-2/hillary-clinton-news-conference-ankeny-iowa
172,http://www.c-span.org/video/?327525-8/presidential-candidate-hillary-clinton-meetandgreet-iowa-state-fair-part-1
173,http://www.c-span.org/video/?327525-5/presidential-candidate-hillary-clinton-iowa-state-fair
174,http://www.c-span.org/video/?327525-9/presidential-candidate-hillary-clinton-meetandgreet-iowa-state-fair-part-2
175,http://www.c-span.org/video/?327525-101/presidential-candidate-hillary-clinton-iowa-state-fair-introduction
176,http://www.c-span.org/video/?327572-2/presidential-candidate-hillary-clinton-press-availability
177,http://www.c-span.org/video/?327572-1/hillary-clinton-remarks-college-affordability
178,http://www.c-span.org/video/?327340-1/hillary-clinton-remarks-economy
179,http://www.c-span.org/video/?327204-1/iowa-democratic-party-hall-fame-dinner
180,http://www.c-span.org/video/?327146-1/hillary-clinton-town-hall-dover-new-hampshire
181,http://www.c-span.org/video/?327052-1/hillary-clinton-economic-policy-address
182,http://www.c-span.org/video/?326400-1/hillary-clinton-remarks-voting-rights
183,http://www.c-span.org/video/?326259-1/hillary-clinton-remarks-columbia-south-carolina
184,http://www.c-span.org/video/?325829-1/hillary-clinton-town-hall-immigration-nevada
185,http://www.c-span.org/video/?324968-1/hillary-clinton-remarks-urban-development
