,Clinton,Trump
college or,1.39954629522,0.714517271357
college or university,1.16979843689,0.854848124655
colleges,3.76625691809,0.265515609197
colleges and,0.94565681883,1.05746607024
colleges and universities,2.03545788927,0.491289947718
com,6.79108821193,0.147251805424
combat,1.52561384296,0.655473863595
combat climate,1.13667568473,0.879758416082
come in,0.204318987995,4.89430771861
come into,0.547424434788,1.82673614192
comes to,0.853087149668,1.17221317938
coming,0.745927795829,1.34061232949
coming in,0.222593789786,4.49248831677
commander,2.56215683554,0.390296170058
commander in,1.40850601891,0.70997211696
commitment,3.86299051579,0.258866801746
commitment to,0.888069297312,1.1260382529
committed,1.074407609,0.93074545603
common,1.79421672845,0.557346269345
common core,0.193355652369,5.17181674158
common ground,2.10002278842,0.476185308805
common sense,1.17706208763,0.849572856444
common sense gun,1.08562901371,0.921124976741
communities,3.27905033744,0.304966346073
community,1.49551899047,0.66866419375
community college,1.84505284054,0.541989897539
compact,2.92503564063,0.341876176177
comprehensive,1.37379241334,0.727912012245
comprehensive immigration,1.88033782481,0.53181932885
comprehensive immigration reform,1.54560713961,0.646994940934
congress,0.882149688417,1.13359446036
conservative,0.139046424272,7.19184261829
continuing,3.36835886322,0.29688048115
conversation,1.06085388644,0.942636882212
corporations,4.41901793148,0.226294623716
correct,0.206130967461,4.85128465808
costs,1.97103041331,0.507348843146
count on,3.89081294754,0.257015696586
counterterrorism,2.53052383786,0.395175095781
couple,0.554691778686,1.80280299515
couple of,0.556168226321,1.79801713344
course,2.44709610538,0.408647620256
coverage,3.38599957053,0.295333764571
create,1.41696544522,0.705733511973
create more,1.46856544828,0.68093662504
create more good,1.10961297223,0.901215130886
create the,0.604114674987,1.65531486223
creating,4.24457853466,0.23559465135
credit,1.21781663139,0.821141684406
credit he,0.979837147562,1.02057775875
credit he deserves,1.2589270958,0.794327172193
criminal justice,1.45419579038,0.687665310691
crisis,1.1826851704,0.845533557894
crisis since,1.54127181508,0.648814823067
crooked,0.548562425175,1.82294658567
crowd,0.477624164644,2.09369641242
crowds,0.628705626241,1.59056951022
cruz,0.323126789253,3.09476042612
deal,0.895247987403,1.11700893392
deal with the,1.34762350755,0.742047014167
deals,0.172865944388,5.78482941532
debt,2.66393658073,0.375384311786
debt free,1.66350423438,0.601140639941
debt free tuition,1.38810174957,0.720408284416
decisions,2.45065754595,0.408053749351
deeply,3.32691715898,0.300578569353
defeat,1.84743849415,0.541290009474
defeat isis,1.78166062282,0.561274121003
defend,0.97939050149,1.02104318806
defense,0.449825988318,2.22308187159
defense fund,2.1951428621,0.455551215944
deficit,0.400415582086,2.49740530773
deficit with,0.628173773455,1.59191618985
degree,1.03161019076,0.969358396179
delegates,0.189855113761,5.2671744268
delighted,1.58422287198,0.631224316783
delighted to,2.82562548323,0.353903943015
delighted to be,1.80647435126,0.553564460685
democracy,5.666280709,0.176482608497
democratic,5.44311427042,0.18371835503
